number,title
1,We're Back in Tokyo
2,Tempura Incident
3,Dreamed of Her
4,I Want to Be a Hero
5,Reiwa!!
6,The Grass is Greener on the Other Side
7,Woman to Treat and Woman to Split the Check
8,Passive Boys
9,Girlfight
10,The Boy That Gets Treated
11,"Broccoli Pasta, Carbonara-Style"
12,Always Chillin
13,All Or Nothing
14,"Just A Moment, Please"
15,A Man's Worth Is Determined By His Job
16,Orange Flavor First Kiss
17,This is Not a Place to Slack
18,Bros Before Hoes
19,The Stray Sheep
20,The Third Flower
21,Too Shy Girl
22,Tip Off
23,Friendship Between Men and Women
24,Pink Rose
25,The Girls Can't Do It
26,Internationalization at Once
27,I Can't Be Here
28,Starving for Affection
29,About Love
30,Not Guilty
