number,title,members,connections
1,Moving to the Terrace House,Tecchan;Masato;Shota;Seina;Momoko;Rie,
2,The Beginning of Something New Or...,Tecchan;Masato;Shota;Seina;Momoko;Rie,
3,Nobody Knows the Way She Feels,Tecchan;Masato;Shota;Seina;Momoko;Rie,
4,Thank You for Being Here,Tecchan;Masato;Shota;Seina;Momoko;Rie,
5,It's Never Too Late to Start,Tecchan;Masato;Shota;Seina;Momoko;Rie,
6,Puppy Love,Tecchan;Masato;Shota;Seina;Momoko;Rie,
7,The One She Truly Longs For...?,Tecchan;Masato;Shota;Seina;Momoko;Rie,
8,Disharmony in the Terrace House,Tecchan;Masato;Shota;Seina;Momoko;Rie,
9,Playtime Is Over,Tecchan;Masato;Shota;Seina;Momoko;Rie,
10,The Decisions,Tecchan;Masato;Shota;Seina;Momoko;Rie,
11,Getting Back Up Again,Tecchan;Masato;Shota;Seina;Momoko;Rie,
12,Moving Out of the Terrace House,Tecchan;Masato;Shota;Seina;Momoko;Rie,
